자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
what is nina dobrev nationality?,what is <PERSON> nationality?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
what country does iceland belong to?,what country does <LOCATION> belong to?,O,match (loc)-[:COUNTRY]-(country) where loc.name=<LOCATION> return country.name ,,,,
which kennedy died first?,which <PERSON> died <ORDINAL>?,O,"match (m:Human)-[:PART_OF]-(q:RockBand {name:'Queen'}) with m, min(m.dateOfDeath) as mdd  where m.dateOfDeath = mdd return m.name",,,,
what books did beverly cleary write?,what books did <PERSON> write?,O,match (m:Human)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
who did the philippines gain independence from?,who did the <LOCATION> gain independence from?,X,역사적 사실 정보 없음,,,,
where to fly into bali?,where to fly into <LOCATION>?,X,<LOCATION>에 가까운 공항,,,,
who is the prime minister of ethiopia?,who is the prime minister of <LOCATION>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
what to see near sedona arizona?,what to see near <LOCATION>?,X,POI 정보 없음,,,,
what high school did president bill clinton attend?,what high school did <PERSON> attend?,O,match (h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what form of government does russia have today?,what form of government does <LOCATION> have <DATE>?,O,match (m)-[:BASIC_FORM_OF_GOVERNMENT]-(g) where m.name=<LOCATION> return g.name,,,,
what movies does taylor lautner play in?,what movies does <PERSON> play in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
what year lebron james came to the nba?,what year <PERSON> came to the <ORGANIZATION>?,O,match (h:Human)-[r:MEMBER_OF]-(org) where h.name=<PERSON> return r.Since,,,,
what did the german revolution lead to?,what did the <MISC> lead to?,X,,,,,
how much did adriana lima gain during pregnancy?,how much did <PERSON> gain during pregnancy?,X,,,,,
what does thai mean?,what does <MISC> mean?,O,match (t) where t.name=<MISC> return t.descEn,,,,
which wife did king henry behead?,which wife did king <PERSON>?,X,,,,,
who was ishmael's mom?,who was <PERSON>'s mom?,X,,,,,
what was malcolm x trying to accomplish?,what was <PERSON> trying to accomplish?,X,,,,,
where are the netherlands on a world map?,where are <LOCATION> on a world map?,O,match (c) where c.name=<LOCATION> return c.locatorMapImage; match(c) where c.name=<LOCATION> return c.locationMap,,,,
what is the president of brazil?,what is the president of <LOCATION>?,O,match (m)-[:HEAD_OF_GOVERNMENT]-(h) where m.name=<LOCATION> return h.name,,,,
what are the major cities in france?,what are the major cities in <LOCATION>?,O,match (c)-[:COUNTRY]-(location) where location.name=<LOCATION> return c.name,,,,
what city did esther live in?,what city did <PERSON> live in?,X,RESIDENCE relation 없음,,,,
what sport do the toronto maple leafs play?,what sport do the <ORGANIZATION> play?,X,,,,,
what is saint nicholas known for?,what is <PERSON> known for?,X,,,,,
when is the new series of the only way is essex starting?,when is the new series of the only way is essex starting?,X,,,,,
what is cher's son's name?,what is <PERSON>'s son's name?,O,match (person)-[:CHILD]-(c) where person.name=<PERSON> return c.name,,,,
what is martin cooper doing now?,what is <PERSON> doing <DATE>?,X,,,,,
what party was andrew jackson?,what party was <PERSON>?,X,,,,,
what is medicare a?,what is <MISC> a?,X,,,,,
what county is the city of hampton va in?,what county is the city of <LOCATION> in?,O,match (city)-[:COUNTRY]-(location) where city.name=<LOCATION> return location.name,,,,
what is the name of the first harry potter novel?,what is the name of the <ORDINAL> <PERSON> novel?,X,,,,,
what did william shakespeare do for a living?,what did <PERSON> do for a living?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
what county is heathrow airport in?,what county is <LOCATION> in?,O,match (loc)-[:COUNTRY]-(c) where loc.name=<LOCATION> return c.name,,,,
where did dmitri mendeleev study science?,where did <PERSON> study science?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what movie is josh hutcherson in?,what movie is <PERSON> in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
what is there to do in laredo tx?,what is there to do in <LOCATION>?,X,,,,,
what season did tony soprano get shot?,what season did <PERSON> get shot?,X,,,,,
where do the san francisco giants play home games?,where do the <ORGANIZATION> play home games?,X,,,,,
what year did william jennings bryan run for president?,what <DURATION> did <PERSON> run for president?,X,,,,,
what was the name of frederick douglass book?,what was the name of <PERSON> book?,O,match (h)-[:COMPOSER]-(w) where h.name=<PERSON> return w.name,,,,
who was queen victoria's parents called?,who was queen <PERSON>'s parents called?,O,match (p)-[:CHILD]-(h) where h.name=<PERSON> return p.name,,,,
what movies did sally field win an oscar for?,what movies did <PERSON> win an oscar for?,X,,,,,
what is the first book sherlock holmes appeared in?,what is the <ORDINAL> book <PERSON> appeared in?,O,match (h)-[:PRESENT_IN_WORK]-(b) where h.name=<PERSON> return b.name,,,,
what type of car does michael weston drive?,what type of car does <PERSON> drive?,X,,,,,
where does lena river begin and end?,where does <PERSON> begin and end?,X,,,,,
what countries do people speak portuguese?,what countries do people speak <MISC>?,O,match (c)-[:LANGUAGE_USED]-(lang) where lang.name=<MISC> return c.name,,,,
where to exchange euros in pittsburgh?,where to exchange euros in <LOCATION>?,X,,,,,
what are the names of walt disney kids?,what are the names of <PERSON> kids?,O,match (p)-[:CHILD]-(c) where p.name=<PERSON> return c.name,,,,
who is in the band bush?,who is in the band <MISC>?,O,match (p)-[:MEMBER_OF]-(b) where b.name=<MISC> return p.name,,,,
what was tupac name in juice?,what was <MISC> name in juice?,X,,,,,
what timezone is australia gmt?,what timezone is <LOCATION> gmt?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(tz) where location.name=<LOCATION> return tz.name,,,,
who does maggie grace play in taken?,who does <PERSON> play in taken?,X,,,,,
what style of music did louis armstrong play?,what style of music did <PERSON> play?,O,match (p)-[:GENRE]-(g) where p.name=<PERSON> return g.name,,,,
when is summer in australia sydney?,when is <DATE> in <LOCATION>?,X,,,,,
what tv show did joey lawrence play on?,what tv show did <PERSON> play on?,X,,,,,
what timezone is denver co?,what timezone is <LOCATION> ?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(tz) where location.name=<LOCATION> return tz.name,,,,
what character did brian austin green play on 90210?,what character did <PERSON> play on <NUMBER>?,X,,,,,
where does jackie french live?,where does <PERSON> live?,X,,,,,
what form of government was practiced in sparta?,what form of government was practiced in <LOCATION>?,X,,,,,
when did the colorado rockies go to the world series?,when did the <ORGANIZATION> go to the world series?,X,,,,,
who was peter parker's first girlfriend?,who was <PERSON>'s <ORDINAL> girlfriend?,O,match (h)-[:PARTNER]-(p) where h.name=<PERSON> return p.name,,,,
what college did matt lauer attend?,what college did <PERSON> attend?,O,match (h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
where to go in london england?,where to go in <LOCATION>?,X,,,,,
what school did joan miro attend?,what school did <PERSON> attend?,O,match (h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
where did france colonise?,where did <LOCATION> colonise?,X,,,,,
who was vincent van gogh inspired by?,who was <PERSON> inspired by?,O,match (h)-[:INFLUENCED_BY]-(w) where h.name=<PERSON> return w.name,,,,
where to get married in jacksonville nc?,where to get married in <LOCATION> ?,X,,,,,
what time zone am i in michigan?,what time zone am i in <LOCATION>?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(tz) where location.name=<LOCATION> return tz.name,,,,
when did the new york knicks win a championship?,when did the <ORGANIZATION> win a championship?,X,,,,,
what is the official language of china 2010?,what is the official language of <LOCATION> <DATE>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) where h.name=<LOCATION> return lang.name,,,,
what was woodrow wilson's major accomplishments?,what was <PERSON>'s major accomplishments?,X,,,,,
where is jack daniels factory?,where is <PERSON> factory?,X,,,,,
what language do the speak in pakistan?,what language do the speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) where h.name=<LOCATION> return lang.name,,,,
where is santa clara university?,where is <ORGANIZATION>?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,,,,
which part of korea is communist?,which part of <LOCATION> is communist?,X,,,,,
where did timothy mcveigh go to prison?,where did <PERSON> go to prison?,X,,,,,
what sea does the yangtze river flow into?,what sea does the <LOCATION> flow into?,X,,,,,
who miley cyrus engaged to?,who <PERSON> engaged to?,X,,,,,
what is charles darwin famous for?,what is <PERSON> famous for?,O,match (h)->[:COMPOSER]-(w) where h.name=<PERSON> return w.name,,,,
who founded the roanoke settlement?,who founded the <LOCATION> settlement?,O,match (o)->[:FOUNDED_BY]-(h) where o.name=<LOCATION> return o.name,,,,
what kind of money should i take to jamaica?,what kind of money should i take to <LOCATION>?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
who is robert downey jr wife?,who is <PERSON> wife?,O,match (m:Human)-[:SPOUSE]-(s:Human) where m.name=<PERSON> return s.name,,,,
where do the ny rangers play?,where do the <ORGANIZATION> play?,X,,,,,
where is jefferson davis buried?,where is <PERSON> buried?,O,match (h)-[:PLACE_OF_BURIAL]-(p) where h.name=<PERSON> return p.name,,,,
who does the author stephenie meyer play in the movie twilight?,who does the author <PERSON> play in the movie <MOVIE>?,X,,,,,
when will oscar pistorius compete?,when <PERSON> compete?,X,,,,,
what years have the dallas cowboys won the superbowl?,what <DURATION> have the <ORGANIZATION> won the <MISC>?,X,,,,,
what awards has louis sachar won?,what awards has <PERSON> won?,O,match (h)-[:AWARD_RECEIVED]-(a) where h.name=<PERSON> return a.name,,,,
who are the current senators from missouri?,who are the <DATE> senators from <LOCATION>?,X,,,,,
who was the president after jfk died?,who was the president after <PERSON> died?,X,,,,,
what is the best currency to take to egypt 2013?,what is the best currency to take to <LOCATION> <DATE>?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what are the countries in the united kingdom?,what are the countries in the <LOCATION>?,O,match (c)-[:CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(t) where c.name=<LOCATION> return t.name,,,,
what planes does the navy have?,what planes does the <ORGANIZATION> have?,X,,,,,
where did benjamin franklin died?,where did <PERSON> died?,O,match (h)-[:PLACE_OF_DEATH]-(p) where h.name=<PERSON> return p.name,,,,
where to visit in n. ireland?,where to visit in <LOCATION>?,X,,,,,
what to do in cancun with family?,what to do in <LOCATION> with family?,X,,,,,
what is the local language of israel?,what is the local language of <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) where h.name=<LOCATION> return lang.name,,,,
what city and state was the air force academy established?,what city and state was the <ORGANIZATION> established?,O,match (m)-[:LOCATION_OF_FORMATION]-(n) where m.name=<ORGANIZATION> return n.name,,,,
what's the national sport of puerto rico?,what's the national sport of <LOCATION>?,X,,,,,
what religion are people in russia?,what religion are people in <LOCATION>?,O,match (loc)-[:OFFICIAL_RELIGION]-(r) where loc.name=<LOCATION> return r.name,,,,
what did shawnee smith play in?,what did <PERSON> play in?,X,,,,,
what countries did queen victoria reign over?,what countries did queen <PERSON> reign over?,X,,,,,
where did dr seuss go to school?,where did dr <PERSON> go to school?,X,,,,,
what team does luis suarez play for?,what team does <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
what are dollars called in spain?,what are dollars called in <LOCATION>?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
who plays meg in family guy?,who plays <PERSON> in family guy?,X,,,,,
what high school did tim allen go to?,what high school did <PERSON> go to?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what is the world's tallest building in dubai called?,what is the world's tallest building in <LOCATION> called?,X,,,,,
where does asiana airlines fly to?,where does <ORGANIZATION> fly to?,X,,,,,
what movie did angelina jolie direct?,what movie did <PERSON> direct?,X,,,,,
where did martin luther king got shot?,where did <PERSON> got shot?,X,,,,,
where to visit near bangkok?,where to visit near <LOCATION>?,X,,,,,
who does christina milian have a baby by?,who does <PERSON> have a baby by?,X,,,,,
what year did tut became king?,what year did <PERSON> became king?,X,,,,,
who is the current president of the dominican republic in 2010?,who is the current president of the <LOCATION> in <DATE>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
who has been married to julia roberts?,who has been married to <PERSON>?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
where do baltimore ravens play?,where do <ORGANIZATION> play?,X,,,,,
where does the un get its funding?,where does the <ORGANIZATION> get its funding?,X,,,,,
who does brandon dubinsky play for?,who does <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
who all has dated taylor swift?,who all has dated <PERSON>?,O,match (h)-[:PARTNER]-(p) where h.name=<PERSON> return p.name,,,,
what is the dominant language in israel?,what is the dominant language in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what are the main languages of nigeria?,what are the main languages of <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what jobs did ben franklin do?,what jobs did <PERSON> do?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
what bible does the catholic church follow?,what bible does the <MISC> church follow?,X,,,,,
who plays lola bunny in the looney tunes show?,who plays <PERSON> in the looney tunes show?,X,,,,,
what stadium did the chicago cardinals play in?,what stadium did the <ORGANIZATION> play in?,X,,,,,
who did rufus wainwright married?,who did <PERSON> married?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
where did c.s. lewis go to college?,where did <PERSON> go to college?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what did nick clegg study at university?,what did <PERSON> study at university?,X,,,,,
who is the president of the european union 2011?,who is the president of the <ORGANIZATION> <DATE>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
what school did cassie bernall go to?,what school did <PERSON> go to?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what movie did james frey write?,what movie did <PERSON> write?,X,,,,,
what did rob kardashian get surgery for?,what did <PERSON> get surgery for?,X,,,,,
what did st. matthew do?,what did <PERSON> do?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
when does harry potter come out on dvd deathly hallows 2?,when does <PERSON> come out on dvd deathly hallows <NUMBER>?,X,,,,,
what was nelson mandela's religion?,what was <PERSON>'s religion?,O,match (h)-[:RELIGION]-(r) where h.name=<PERSON> return r.name,,,,
who will win the 2011 nhl stanley cup?,who will win the <DATE> <ORGANIZATION> stanley cup?,X,,,,,
what is henry clay known for?,what is <PERSON> known for?,O,MATCH p=(p)-[r:COMPOSER]-(x) WHERE p.name = <PERSON> RETURN x.name,?,,,
who did axl rose marry?,who did <ORGANIZATION> rose marry?,X,,,,,
what years did brett favre go to the super bowl?,what <DURATION> did <PERSON> go to the super bowl?,X,,,,,
what is the money of spain called?,what is the money of <LOCATION> called?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
where are sunbeam microwaves made?,where are <ORGANIZATION> microwaves made?,X,,,,,
who was elected president of the philippines?,who was elected president of the <LOCATION>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
what cities does ryanair fly to?,what cities does <ORGANIZATION> fly to?,X,,,,,
what time zone is oklahoma state?,what time zone is <LOCATION> state?,O,match (loc)-[:LOCATED_IN_TIME_ZONE]-(tz) where loc.name=<LOCATION> return tz.name,,,,
who was the apostle paul considered to be?,who was the apostle <PERSON> considered to be?,X,,,,,
what currency does ontario canada use?,what currency does <LOCATION> use?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what instrument does justin bieber?,what instrument does <PERSON>?,O,match (h)->[:INSTRUMENT]-(i) where h.name=<PERSON> return i.name,,,,
what team did shaq play for first?,what team did <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
where was kennedy when he got shot?,where was <PERSON> when he got shot?,X,,,,,
who do derek fisher play for?,who do <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
where did the casey anthony case take place?,where did the <PERSON> case take place?,X,,,,,
where did pres clinton go to college?,where did <PERSON> go to college?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what was the name of the original seattle baseball team?,what was the name of the original <LOCATION> baseball team?,X,,,,,
who was general cornwallis american revolution?,who was general <PERSON> american revolution?,X,,,,,
what type of monarchy did england have?,what type of monarchy did <LOCATION> have?,X,,,,,
when were the texas rangers started?,when were the <ORGANIZATION> started?,O,match (o) where o.name=<ORGANIZATION> return o.inception,,,,
where did the houston oilers football team go?,where did the <ORGANIZATION> football team go?,X,,,,,
what do they call football in spanish?,what do they call football in <MISC>?,X,,,,,
where did pauley perrette go to college?,where did <PERSON> go to college?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
where does niles crane live?,where does <PERSON> live?,X,,,,,
where was gabriel faure born?,where was <PERSON> born?,O,match (h:Human)-[:PLACE_OF_BIRTH]-(p) where h.name=<PERSON> return p.name ,,,,
who is the governor of kentucky 2012?,who is the governor of <LOCATION> <DATE>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
who is the senator of the united states 2010?,who is the senator of the <LOCATION> <DATE>?,X,,,,,
where did the massive allied invasion of northern france take place in june 1944?,where did the massive allied invasion of northern <LOCATION> take place in <DATE>?,X,,,,,
which countries are part of the united kingdom?,which countries are part of the <LOCATION>?,O,match (loc)-[:CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(part) where loc.name=<LOCATION> return part.name,,,,
what is the postcode for london?,what is the postcode for <LOCATION>?,X,,,,,
who killed vincent chin dvd?,who killed <PERSON> dvd?,X,,,,,
what other books did jules verne wrote?,what other books did <PERSON> wrote?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
what is the currency name of brazil?,what is the currency name of <LOCATION>?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what language does fiji?,what language does <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) where h.name=<LOCATION> return lang.name,,,,
what is the second percy jackson book called?,what is the <ORDINAL> <PERSON> book called?,X,,,,,
what did gregor mendel conducted his experiments on?,what did <PERSON> conducted his experiments on?,X,,,,,
who did jon gosselin cheat with?,who did <PERSON> cheat with?,X,,,,,
where is mitsubishi headquarters?,where is <ORGANIZATION> headquarters?,O,match (o)-[:HEADQUARTERS_LOCATION]-(loc) where o.name=<ORGANIZATION> return loc.name,,,,
where is jay cutler now?,where is <PERSON> <DATE>?,X,,,,,
what are eu countries?,what are <LOCATION> countries?,O,match (loc)-[:CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(part) where loc.name=<LOCATION> return part.name,,,,
what influenced vincent van gogh work?,what influenced <PERSON> work?,O,match (h)-[:INFLUENCED_BY]-(influencer) where h.name=<PERSON> return influencer.name,,,,
what time zones are there in the us?,what time zones are there in the <LOCATION>?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
what are the 5 biggest cities in the usa?,what are the <NUMBER> biggest cities in the <LOCATION>?,X,,,,,
what language do australian people speak?,what language do <MISC> people speak?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
who did ben stiller play in megamind?,who did <PERSON> play in <MOVIE>?,X,,,,,
what countries did queen victoria rule?,what countries did queen <PERSON> rule?,O,match (s)-[:HEAD_OF_STATE]-(p) where p.name=<PERSON> return s.name,,,,
who are betty white's parents?,who are <PERSON>'s parents?,O,match (p)-[:CHILD]-(c) where c.name=<PERSON> return p.name,,,,
where did jeff dunham go to school?,where did <PERSON> go to school?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what college did kevjumba?,what college did <PERSON>?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
who does david james play for 2011?,who does <PERSON> play for <DATE>?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
what was the purpose of the 1964 gulf of tonkin resolution?,what was the purpose of the <DATE> gulf of <LOCATION> resolution?,X,,,,,
what movies did diana ross play in?,what movies did <PERSON> play in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
what is the zip code for minneapolis?,what is the zip code for <LOCATION>?,X,,,,,
what country is the west bank located in?,what country is the <LOCATION> located in?,O,match (loc)-[:COUNTRY]-(c) where loc.name=<LOCATION> return c.name,,,,
who won golden boot?,who won <MISC>?,O,match (h)-[:AWARD_RECEIVED]-(a) where a.name=<MISC> return h.name,,,,
where did jane mansfield die?,where did <PERSON> die?,O,match (h)-[:PLACE_OF_DEATH]-(p) where h.name=<PERSON> return p.name,,,,
where is the thames river located?,where is the <LOCATION> located?,O,match (loc)-[:COUNTRY]-(c) where loc.name=<LOCATION> return c.name,,,,
when did kings last win stanley cup?,when did kings last win <MISC>?,X,,,,,
what school did william shakespeare attend?,what school did <PERSON> attend?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what money do they use in chile?,what money do they use in <LOCATION>?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what college did peyton manning?,what college did <PERSON>?,O,match (h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what are the 2 conferences in the nfl?,what are the <NUMBER> conferences in the <ORGANIZATION>?,X,,,,,
when did jennifer lopez start on in living color?,when did <PERSON> start on in living color?,X,,,,,
when is portland marathon?,when is <LOCATION> marathon?,X,,,,,
what character does ellen play in finding nemo?,what character does <PERSON> play in finding nemo?,X,,,,,
when was the last time the ny giants were in the super bowl?,when was the last time the <ORGANIZATION> were in the super bowl?,X,,,,,
what are all the names of harry potter?,what are all the names of <MISC>?,X,,,,,
what does nick cannon play in?,what does <PERSON> play in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
what sort of government does brazil have?,what sort of government does <LOCATION> have?,X,,,,,
which airport is best to fly into milan?,which airport is best to fly into <LOCATION>?,X,,,,,
where did matthias schleiden go to school?,where did <PERSON> go to school?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
what county is rihanna from?,what county is <PERSON> from?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
what happened to daddy yankee?,what happened to <ORGANIZATION>?,X,,,,,
what country is located in the balkan peninsula?,what country is located in the <LOCATION>?,X,,,,,
what 6 states border south dakota?,what <NUMBER> states border <LOCATION>?,O,match (c)-[:SHARES_BORDER_WITH]-(n) where c.name=<LOCATION> return n.name,,,,
what are the main languages spoken in spain?,what are the main languages spoken in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what songs did mozart write?,what songs did <PERSON> write?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
what language do they speak in thai?,what language do they speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
who is the new senator of montana?,who is the new senator of <LOCATION>?,X,,,,,
which airport to fly in rome?,which airport to fly in <LOCATION>?,X,,,,,
where are the ruins of pompeii?,where are the ruins of <LOCATION>?,O,match (loc)-[:COUNTRY]-(c) where loc.name=<LOCATION> return c.name,,,,
what language people speak in afghanistan?,what language people speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what language do people speak in brazil wikipedia?,what language do people speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what cities should i visit in california?,what cities should i visit in <LOCATION>?,X,,,,,
where was princess leia raised?,where was princess <PERSON> raised?,X,,,,,
what is the name of the pittsburgh steelers head coach?,what is the name of the <ORGANIZATION> head coach?,X,,,,,
when does canada's wonderland close?,when does <LOCATION>'s wonderland close?,X,,,,,
when did the lakers win the championship?,when did the <ORGANIZATION> win the championship?,X,,,,,
what year was the great san francisco fire?,what <DURATION> was the great <LOCATION> fire?,X,,,,,
what countries share borders with france?,what countries share borders with <LOCATION>?,O,match (c)-[:SHARES_BORDER_WITH]-(n) where c.name=<LOCATION> return n.name,,,,
what did patrick swayze sing?,what did <PERSON> sing?,O,match (s)-[:PERFORMER]-(h) where h.name=<PERSON> return s.name,,,,
what style of art is salvador dali?,what style of art is <PERSON>?,O,match (h)-[:GENRE]-(g) where h.name=<PERSON> return g.name,,,,
what city was leonardo da vinci from?,what city was <PERSON> from?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
what did george v die of?,what did <PERSON> die of?,O,match (h)-[:CAUSE_OF_DEATH]-(c) where h.name=<PERSON> return c.name,,,,
what are the three major rivers in south america?,what are the <NUMBER> major rivers in <LOCATION>?,X,,,,,
what other discoveries did isaac newton discover?,what other discoveries did <PERSON> discover?,X,,,,,
